[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[TRACE] 2024-04-07 11:38:21.124 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2106, 607, 0.04 
[TRACE] 2024-04-07 11:38:21.124 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2107, 555, 0.03 
[TRACE] 2024-04-07 11:38:21.124 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2108, 783, 0.01 
[TRACE] 2024-04-07 11:38:21.124 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2109, 505, 0.02 
[TRACE] 2024-04-07 11:38:21.125 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2110, 392, 0.01 
[TRACE] 2024-04-07 11:38:21.125 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2111, 317, 0.01 
[TRACE] 2024-04-07 11:38:21.125 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2112, 383, 0.01 
[TRACE] 2024-04-07 11:38:21.125 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2113, 598, 0.03 
[TRACE] 2024-04-07 11:38:21.125 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2114, 211, 0.02 
[TRACE] 2024-04-07 11:38:21.126 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2115, 770, 0.00 
[TRACE] 2024-04-07 11:38:21.126 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2116, 221, 0.00 
[TRACE] 2024-04-07 11:38:21.126 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2117, 696, 0.02 
[TRACE] 2024-04-07 11:38:21.126 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2118, 226, 0.02 
[TRACE] 2024-04-07 11:38:21.126 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2119, 187, 0.03 
